manufacturer,model,year,gas,km,expenses,last_bid
 FIAT,"PALIO FIRE ECONOMY
      "," 2013/2014
  ", ALC/GAS   ," 156.800   
  "," R$ 2.050,00",
 FORD,"KA FLEX
      "," 2008/2009
  ", ALC/GAS   ," 136.800   
  "," R$ 2.050,00",
 FIAT,"UNO VIVACE 1.0
      "," 2011/2012
  ", ALC/GAS   ," 163.700   
  "," R$ 2.050,00",
 CHEVROLET,"CLASSIC LS
      "," 2013/2014
  ", ALC/GAS   ," 147.150   
  "," R$ 2.050,00",
 VOLKSWAGEN,"GOL 1.0 GIV
      "," 2010/2011
  ", ALC/GAS   ," 184.050   
  "," R$ 2.050,00",
 RENAULT,"CLIO CAM 10H3P
      "," 2008/2009
  ", ALC/GAS   ," 192.650   
  "," R$ 2.050,00",
 RENAULT,"SANDERO EXP1016V 
      "," 2012/2013
  ", ALC/GAS   ," 144.550   
  "," R$ 2.050,00",
 FORD,"KA FLEX
      "," 2010/2011
  ", ALC/GAS   ," 86.700   
  "," R$ 2.050,00",
 VOLKSWAGEN,"GOL 1.0 GIV
      "," 2012/2013
  ", ALC/GAS   ," 178.400   
  "," R$ 2.050,00",
 RENAULT,"MEGANE SD PRI 20A
      "," 2009/2010
  ", GASOLINA   ," 124.700   
  "," R$ 2.050,00",
 CITROEN,"C4 PALLAS20GAF
      "," 2010/2010
  ", ALC/GAS   ," 214.150   
  "," R$ 2.050,00",
 PEUGEOT,"307 16 FX PR
      "," 2008/2009
  ", ALC/GAS   ," 194.000   
  "," R$ 2.050,00",
 HONDA,"CRV EXL
      "," 2010/2010
  ", GASOLINA/GNV   ," 153.900   
  "," R$ 1.750,00",
 FORD,"ECOSPORT XLT1.6FLEX
      "," 2007/2007
  ", ALC/GAS   ," 161.650   
  "," R$ 1.750,00","R$ 14.600,00"
 RENAULT,"CLIO EXP1016VH
      "," 2012/2013
  ", ALC/GAS   ," 187.050   
  "," R$ 1.750,00","R$ 12.800,00"
 FIAT,"PALIO FIRE ECONOMY
      "," 2013/2014
  ", ALC/GAS   ," 143.800   
  "," R$ 1.750,00","R$ 17.200,00"
 CHRYSLER,"PT CRUISER C
      "," 2006/2006
  ", GASOLINA/GNV   ," 95.050   
  "," R$ 1.750,00",
 VOLKSWAGEN,"GOL 1.6L MB5
      "," 2020/2021
  ", ALC/GAS   ," 107.100   
  "," R$ 1.750,00",
 NISSAN,"LIVINA XGEAR 18SL
      "," 2012/2013
  ", ALC/GAS/GNV   ," 344.500   
  "," R$ 1.750,00",
 VOLKSWAGEN,"VOYAGE 1.0
      "," 2011/2012
  ", ALC/GAS   ," 186.100   
  "," R$ 1.750,00",
 PEUGEOT,"207 HB XR
      "," 2009/2010
  ", ALC/GAS/GNV   ," 76.900   
  "," R$ 1.750,00",
 VOLKSWAGEN,"GOL 1.0
      "," 2010/2011
  ", ALC/GAS   ," 147.200   
  "," R$ 1.750,00",
 FIAT,"UNO VIVACE 1.0
      "," 2012/2013
  ", ALC/GAS   ," 100.900   
  "," R$ 1.750,00",
